A3413,A3407,A3400,M0562,D5915,M0082,D5927,A1235,D5795,M2901,M3342,A1405,D1531,E0652,H1770,M0085,A0141,M0081,A0142,M0280,A1389,M0326,M0591,A0144,D4129,M0083,GluMA,GalAM,DP,total_rot_bonds,total_chi0v,total_num_rings,total_mw,total_kappa3,total_kappa1,total_n_carbon,total_arom_rings,total_num_valence_electrons,total_hbd,total_chi1v,total_tpsa,total_molar_ref,charge,total_heavy_atom_count,total_kappa2,total_n_oxygen,total_num_aromatic_heterocycles,total_num_sat_rings,total_num_aliphatic_rings,total_logp,total_balabanj,total_num_heteroatoms,total_hba,total_n_nitrogen,total_bertzct,total_hallkieralpha,predicted_docking_score,Consensus_Class,score,fluorescence
4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,82.0,137.492272,0.0,3061.7920000000004,93.795126,203.074716,154.0,0.0,1214.0,8.0,69.47056,708.28,833.2742000000001,6.0,208.0,112.118559,42.0,0.0,0.0,0.0,16.4472,56.457305000000005,54.0,42.0,8.0,2576.759641,-15.750000000000002,-8.611522,1,4.0,Medium
5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,74.0,127.239587,0.0,3002.761,95.822134,197.920895,135.0,0.0,1172.0,17.0,61.440801,933.97,765.4594999999999,6.0,201.0,106.159111,50.0,0.0,0.0,0.0,-8.1117,56.804123,66.0,50.0,11.0,2457.7601870000003,-16.61,-8.72916,0,5.0,Low
5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,22.0,145.0,182.81329,0.0,4013.912,158.845485,271.200895,215.0,0.0,1610.0,10.0,100.32735,794.3199999999999,1125.971,6.0,274.0,174.53857200000002,44.0,0.0,0.0,0.0,32.9505,54.430966,59.0,44.0,10.0,3324.6493420000006,-16.33,-8.5799885,1,1.0,Medium
2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,106.0,145.035436,2.0,3384.988,113.735628,215.80468,162.0,0.0,1348.0,6.0,73.66769,817.78,884.383,6.0,232.0,139.093888,62.0,0.0,2.0,2.0,8.8946,59.50310399999999,70.0,62.0,6.0,2702.287224,-17.759999999999998,-8.61633,2,0.0,High
2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,99.0,135.47877,0.0,3171.59,111.82978,208.554716,147.0,0.0,1250.0,8.0,66.522408,815.7900000000001,828.0762,6.0,214.0,134.407087,55.0,0.0,0.0,0.0,8.785699999999999,52.313363,67.0,55.0,8.0,2423.8755250000004,-16.27,-8.630948,1,1.0,Medium
5.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,77.0,130.211002,0.0,3007.92,99.840173,199.040895,139.0,0.0,1178.0,14.0,63.78877,867.3999999999999,776.5898,6.0,202.0,105.976972,44.0,0.0,0.0,0.0,-11.4515,56.830358,63.0,44.0,14.0,2474.2623900000003,-16.49,-8.722577,0,5.0,Low
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,105.0,147.58537,4.0,3446.628,111.020285,214.880823,167.0,0.0,1378.0,6.0,76.375466,813.04,899.8506,6.0,238.0,137.212348,64.0,0.0,4.0,4.0,7.5265,60.256338,71.0,64.0,6.0,2854.732338,-18.13,-8.635634,2,0.0,High
5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,22.0,97.0,166.84809,8.0,4196.784,99.211173,261.726079,175.0,0.0,1642.0,50.0,86.92899,1611.7599999999998,1008.4422,6.0,282.0,133.510132,84.0,0.0,8.0,8.0,-30.4215,48.982518,107.0,84.0,18.0,4030.905150000001,-18.25,-8.655943,0,6.0,Low
3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,104.0,145.774583,2.0,3407.446,114.020206,218.800859,161.0,0.0,1350.0,7.0,73.377397,836.19,887.5101,7.0,232.0,139.37969199999998,61.0,0.0,2.0,2.0,7.911899999999999,56.46923099999999,71.0,61.0,7.0,2717.7846010000003,-17.47,-8.630117,2,0.0,High
2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,106.0,143.023506,0.0,3343.814,120.662692,219.55028,156.0,0.0,1320.0,8.0,70.613178,851.32,874.9592,6.0,226.0,142.67449599999998,58.0,0.0,0.0,0.0,10.318,55.347236,70.0,58.0,8.0,2556.26645,-17.1,-8.6032715,2,0.0,High
2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,74.0,128.78893,0.0,3048.428,91.264654,195.732358,140.0,0.0,1208.0,22.0,62.700476,975.32,781.0958,6.0,208.0,102.282634,60.0,0.0,0.0,0.0,-1.8924,67.499782,68.0,60.0,6.0,2653.85148,-17.68,-8.744519,0,5.0,Low
2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,101.0,138.90491400000002,2.0,3240.818,108.426158,206.63468,155.0,0.0,1290.0,6.0,70.57692,782.25,846.734,6.0,222.0,132.801489,59.0,0.0,2.0,2.0,8.142499999999998,56.46923099999999,67.0,59.0,6.0,2592.868377,-16.93,-8.635229,1,2.0,Medium
2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,42.0,159.32473199999998,2.0,3353.436,94.785356,216.44468,178.0,0.0,1348.0,6.0,75.670186,670.1,932.543,6.0,232.0,84.219392,46.0,0.0,2.0,2.0,27.3282,73.879792,54.0,46.0,6.0,3369.677688,-17.12,-8.53255,0,6.0,Low
