A,B,C,D,E,H,I,P,N,DP,total_hba,total_num_aromatic_heterocycles,total_rot_bonds,total_n_nitrogen,total_num_rings,total_logp,total_tpsa,total_heavy_atom_count,total_hallkieralpha,total_kappa3,total_kappa2,total_balabanj,total_chi1v,total_n_carbon,total_n_oxygen,total_chi0v,total_num_aliphatic_rings,total_arom_rings,total_mw,total_bertzct,total_hbd,charge,total_num_valence_electrons,total_molar_ref,total_num_heteroatoms,total_num_sat_rings,total_kappa1,predicted_docking_score,Consensus_Class,score,fluorescence
0.0,0.0,3.0,9.0,5.0,0.0,0.0,5.0,0.0,22.0,64.0,0.0,83.0,9.0,5.0,10.255,798.24,225.0,-24.23,96.205433,104.628553,65.267935,67.898885,161.0,55.0,134.747556,0.0,5.0,3179.683,3380.501599,0.0,6.0,1251.0,852.0,64.0,0.0,191.17883,-8.692731,2,0,High
0.0,0.0,2.0,8.0,5.0,0.0,0.0,7.0,0.0,22.0,63.0,0.0,85.0,8.0,7.0,14.8733,770.6700000000001,233.0,-25.62,93.58092,106.692978,63.117711,70.733394,170.0,55.0,138.573845,0.0,7.0,3277.807,3695.221821,0.0,6.0,1286.0,887.4010000000001,63.0,0.0,193.952362,-8.758588,2,0,High
0.0,0.0,2.0,8.0,6.0,0.0,0.0,6.0,0.0,22.0,62.0,0.0,82.0,8.0,6.0,13.8142,761.44,226.0,-24.64,92.852482,104.291,64.128468,68.537018,164.0,54.0,135.07173799999998,0.0,6.0,3185.71,3478.71039,0.0,6.0,1252.0,861.138,62.0,0.0,189.850596,-8.705069,2,0,High
0.0,0.0,3.0,9.0,5.0,0.0,0.0,4.0,0.0,21.0,61.0,0.0,78.0,9.0,4.0,8.4604,762.71,211.0,-22.46,92.448104,98.824636,63.105792,63.601555000000005,150.0,52.0,126.937389,0.0,4.0,2987.469,3087.840828,0.0,6.0,1177.0,798.9069999999999,61.0,0.0,180.867064,-8.666326,2,0,High
0.0,7.0,2.0,8.0,0.0,0.0,0.0,0.0,5.0,22.0,56.0,0.0,76.0,18.0,7.0,5.913699999999999,935.51,229.0,-26.87,92.87125,97.686571,66.085779,67.508672,163.0,48.0,133.653115,0.0,7.0,3207.695,3826.305024,10.0,6.0,1252.0,868.6505,66.0,0.0,188.801139,-8.87596,2,0,High
0.0,0.0,2.0,8.0,6.0,0.0,0.0,5.0,0.0,21.0,59.0,0.0,77.0,8.0,5.0,12.0196,725.91,212.0,-22.87,89.09515300000001,98.487083,61.966325,64.239688,153.0,51.0,127.261571,0.0,5.0,2993.496,3186.049619,0.0,6.0,1178.0,808.0450000000001,59.0,0.0,179.53883,-8.663065,2,0,High
0.0,0.0,3.0,9.0,5.0,0.0,5.0,0.0,0.0,22.0,59.0,0.0,73.0,9.0,0.0,8.14,752.09,200.0,-19.33,102.793288,96.234358,70.819725,61.196215,141.0,50.0,125.123776,0.0,0.0,2859.4680000000003,2444.616634,0.0,6.0,1141.0,766.505,59.0,0.0,180.67,-8.449593,2,0,High
0.0,8.0,2.0,8.0,0.0,0.0,0.0,0.0,3.0,21.0,54.0,0.0,73.0,14.0,8.0,10.2817,817.4300000000001,223.0,-25.8,86.381571,94.716222,61.746743,66.464848,163.0,46.0,130.57710500000002,0.0,8.0,3113.621,3806.945067000001,6.0,6.0,1214.0,850.2833,60.0,0.0,181.967016,-8.922476,2,0,High
0.0,4.0,3.0,9.0,0.0,0.0,0.0,5.0,0.0,21.0,62.0,0.0,85.0,9.0,9.0,14.2407,771.9399999999999,238.0,-26.56,91.381774,104.968262,59.138163000000006,72.026451,176.0,53.0,139.986504,0.0,9.0,3327.8499999999995,4057.462439,0.0,6.0,1299.0,903.59,62.0,0.0,194.232338,-8.897886,2,0,High
0.0,0.0,3.0,9.0,5.0,0.0,0.0,6.0,0.0,23.0,67.0,0.0,88.0,9.0,6.0,12.0496,833.77,239.0,-26.0,99.962762,110.43247,67.430078,72.196215,172.0,58.0,142.557723,0.0,6.0,3371.8970000000004,3673.16237,0.0,6.0,1325.0,905.093,67.0,0.0,201.490596,-8.713372,2,0,High
