A3413,A3407,A3400,M0562,D5915,M0082,D5927,A1235,D5795,M2901,M3342,A1405,D1531,E0652,H1770,M0085,A0141,M0081,A0142,M0280,A1389,M0326,M0591,A0144,D4129,M0083,GluMA,GalAM,DP,total_hbd,total_balabanj,total_n_oxygen,total_n_nitrogen,total_logp,total_num_sat_rings,total_n_carbon,total_chi1v,total_tpsa,total_num_valence_electrons,total_bertzct,total_num_aromatic_heterocycles,total_molar_ref,total_num_aliphatic_rings,total_num_rings,total_kappa3,total_mw,total_arom_rings,total_kappa1,charge,total_heavy_atom_count,total_chi0v,total_hallkieralpha,total_hba,total_num_heteroatoms,total_rot_bonds,total_kappa2,predicted_docking_score,Consensus_Class,score,fluorescence
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0,22.0,20.0,60.957734,72.0,4.0,18.3978,8.0,226.0,107.707272,1113.7800000000002,1752.0,4041.413842,0.0,1145.8156,8.0,8.0,156.923748,4319.594,0.0,267.855504,-2.0,302.0,185.88482,-18.66,72.0,76.0,142.0,169.12892799999997,-8.60876,1,2.0,Medium
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,22.0,14.0,49.061858,50.0,8.0,16.520400000000002,0.0,162.0,72.951,948.76,1340.0,2924.549384,0.0,908.2436,0.0,0.0,108.2629,3445.8279999999995,0.0,234.029432,6.0,228.0,150.288374,-15.62,50.0,66.0,86.0,125.796412,-8.710275,0,6.0,High
6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,12.0,51.615608,46.0,10.0,-16.5242,0.0,106.0,46.077592,940.96,976.0,2026.67219,0.0,617.749,0.0,0.0,94.357928,2547.38,0.0,168.117074,0.0,168.0,104.058284,-16.12,46.0,62.0,50.0,82.842374,-8.53796,1,4.0,Medium
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,18.0,49.045167,57.0,11.0,-10.653,6.0,144.0,66.37093,995.75,1256.0,2927.0102920000004,0.0,807.6423000000001,6.0,6.0,90.258822,3229.909,0.0,202.097861,7.0,217.0,134.49433,-16.89,57.0,73.0,64.0,102.25440500000002,-8.7366495,1,4.0,Medium
5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,12.0,55.849318,46.0,10.0,-13.5325,0.0,117.0,52.13112,917.76,1034.0,2125.9777200000003,0.0,661.9766,0.0,0.0,92.054845,2665.216,0.0,175.120895,0.0,178.0,110.774852,-16.41,46.0,61.0,61.0,90.555532,-8.589493,1,4.0,Medium
0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,22.0,24.0,68.134018,72.0,8.0,-14.6466,4.0,166.0,78.45854,1131.54,1424.0,3274.263598,0.0,888.3304,4.0,4.0,96.6822,3550.13,0.0,219.39086,2.0,246.0,148.110964,-18.82,72.0,80.0,98.0,119.8241,-8.742066,1,2.0,Medium
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,16.0,47.143041,53.0,9.0,-9.3528,2.0,122.0,54.42828,1024.01,1112.0,2451.018946,0.0,710.9797000000001,2.0,2.0,92.29797,2904.243,0.0,190.025575,3.0,191.0,118.737608,-16.07,53.0,69.0,56.0,95.352247,-8.616739,1,3.0,Medium
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,11.0,52.76142,49.0,6.0,2.169199999999999,0.0,124.0,54.055339,928.57,1078.0,2308.4310670000004,0.0,703.5796,0.0,0.0,92.089078,2787.803,0.0,185.157074,0.0,185.0,116.973513,-16.08,49.0,61.0,59.0,94.202029,-8.587166,1,4.0,Medium
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,26.0,46.602928,50.0,19.0,-10.075399999999998,6.0,154.0,71.834496,1029.16,1330.0,3157.5041840000004,0.0,879.7343,6.0,6.0,95.172572,3416.783,0.0,217.05404,9.0,229.0,145.49701,-16.64,50.0,75.0,66.0,107.112268,-8.794061,1,3.0,Medium
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,17.0,48.855923,56.0,11.0,-11.8287,6.0,141.0,64.859397,989.35,1232.0,2865.452315,0.0,789.9875,6.0,6.0,89.740942,3170.821,0.0,198.137861,6.0,213.0,131.710253,-16.849999999999998,56.0,72.0,62.0,99.686665,-8.724184,1,4.0,Medium
