D,H,A,E,C,I,P,B,N,DP,Fluorescence,total_num_valence_electrons,total_hallkieralpha,total_num_sat_rings,total_kappa2,total_kappa3,total_bertzct,total_balabanj,total_rot_bonds,total_hbd,total_hba,total_num_heteroatoms,total_num_aromatic_heterocycles,total_num_aliphatic_rings,total_logp,total_chi0v,total_arom_rings,total_num_rings,total_kappa1,total_n_carbon,total_mw,total_n_oxygen,total_chi1v,charge,total_heavy_atom_count,total_molar_ref,total_tpsa,total_n_nitrogen,predicted_docking_score,Consensus_Class,score,fluorescence
2.5,2.5,13.5,10,0,0,0,0,0,28.5,4.037399722,1035.5,-22.715,0,77.877281,95.306145,2064.4470555,90.759605,51,16,48.5,62,0,0,2.29195,107.788261,0,0,159.785,120.5,2608.9915,46,50.357243,2.5,182.5,700.7009,1041.54,16,-8.100494,2,0,High
2.5,2.5,21.5,2.5,0,0,0,0,0,29,4.00870782,959.5,-23.11,0,64.5349465,98.2694625,1956.6342295,92.601295,44,24,41.5,63,0,0,-5.9627,97.638259,0,0,146.89,107,2426.746,39,44.117872,2.5,170,654.6071,1189.01,24,-7.7054777,2,0,High
17.5,0,10,0,0,2.5,2.5,0,0,32.5,3.981015781,1592.5,-28.825,0,127.447465,147.0962975,3688.0493975,101.5447975,100,10,75,85,0,0,6.51025,175.0311725,2.5,2.5,248.879415,197.5,4017.5075,57.5,84.36133,17.5,282.5,1116.719,1148.975,27.5,-7.9739847,2,0,High
2.5,2.5,24.5,2.5,0,0,0,0,0,32,3.891471558,1043.5,-25.48,0,69.0995245,107.8994625,2130.3744385,102.21571,47,27,44.5,69,0,0,-6.9896,105.948427,0,0,159.52,116,2639.983,42,47.687041,2.5,185,712.7813,1318.28,27,-7.498389,2,0,High
10,2.5,10,14.5,0,0,0,0,0,37,3.874994862,1545,-29.73,0,125.321973,137.5221795,3110.23103,117.782325,86.5,12.5,76.5,86.5,0,0,7.6645,165.9471925,0,0,241.77,185,3884.6365,66.5,78.9312705,10,271.5,1053.6035,1250.575,20,-7.1730833,2,0,High
17,0,0,0,0,0,7.5,0,0,24.5,3.785656427,1524,-27.385,0,128.4416745,118.4409575,4248.1225205,70.5287775,105.5,0,73.5,73.5,0,0,15.4196,168.4367295,7.5,7.5,233.228245,201.5,3875.767,56.5,85.006509,17,275,1078.2825,813.875,17,-8.600443,2,0,High
0,0,20,7.5,0,0,0,0,0,27.5,3.751064529,860,-21.725,0,55.9450625,86.9166825,1729.38811,87.89285,35,20,35,55,0,0,-1.32975,87.71157,0,0,130.775,97.5,2172.4575,35,39.551615,0,152.5,589.053,1059.05,20,-7.6909842,2,0,High
2.5,2.5,10,17.5,0,0,0,0,0,32.5,3.730463054,1237.5,-25.875,0,98.0664825,106.7878275,2432.870195,103.3395375,62.5,12.5,60,70,0,0,9.00625,130.403515,0,0,191.625,147.5,3111.0925,57.5,61.9503675,2.5,217.5,834.056,1087.975,12.5,-7.8790207,2,0,High
7.5,0,7.5,0,0,7.5,7.5,0,0,30,3.723588656,1582.5,-31.35,0,123.340215,130.1377425,4326.243495,88.757355,97.5,7.5,67.5,75,0,0,22.044,171.9601125,7.5,7.5,239.263245,210,4009.875,60,86.6126325,7.5,285,1113.6255,1028.4,15,-8.697024,2,0,High
2.5,10,13.5,10,0,0,0,0,0,36,3.683810555,1380.5,-28.94,0,110.3678435,120.531825,2722.0063455,114.09533,73.5,23.5,71,84.5,0,0,0.1012,141.2561185,0,0,213.56,158,3479.8615,68.5,66.9328055,2.5,242.5,912.5144,1390.515,16,-7.36027,2,0,High
13,0,0,0,0,0,11,0,0,24,3.665791088,1555,-30.26,0,128.77602,110.353729,4789.337163,65.316818,107,0,72,72,0,0,21.2395,169.92279,11,11,232.639426,212,3975.772,59,87.629156,13,284,1104.088,809.43,13,-8.703342,2,0,High
7.5,0,7.5,0,0,7.5,7.5,0,0,30,3.638072228,1582.5,-31.35,0,123.340215,130.1377425,4326.243495,88.757355,97.5,7.5,67.5,75,0,0,22.044,171.9601125,7.5,7.5,239.263245,210,4009.875,60,86.6126325,7.5,285,1113.6255,1028.4,15,-8.697024,2,0,High
7.5,0,7.5,0,0,7.5,7.5,0,0,30,3.608091472,1582.5,-31.35,0,123.340215,130.1377425,4326.243495,88.757355,97.5,7.5,67.5,75,0,0,22.044,171.9601125,7.5,7.5,239.263245,210,4009.875,60,86.6126325,7.5,285,1113.6255,1028.4,15,-8.697024,2,0,High
10,2.5,0,0,10,14.5,0,0,0,37,3.602632841,1999,-35.03,0,166.0779085,183.38632,4454.714411,119.9749395,131,2.5,106.5,106.5,0,0,8.86695,214.434862,0,0,315.47,244,5011.8095,96.5,106.0002395,0,350.5,1300.3675,1483.975,10,-7.513477,2,0,High
2.5,2.5,19.5,10,0,0,0,0,0,34.5,3.582497957,1203.5,-27.455,0,87.006437,114.566145,2411.9274735,109.988435,57,22,54.5,74,0,0,0.23815,124.408597,0,0,185.045,138.5,3035.4655,52,57.495581,2.5,212.5,817.0493,1300.08,22,-7.3928437,2,0,High
2.5,10,15.5,2.5,0,0,0,0,0,30.5,3.552745612,1136.5,-24.595,0,87.896353,104.2351425,2266.7131015,96.70819,60.5,25.5,58,73.5,0,0,-6.09965,114.4857805,0,0,175.405,126.5,2871.142,55.5,53.5550965,2.5,200,750.0722,1279.445,18,-8.258731,2,0,High
13.5,0,10,0,0,2.5,2.5,0,0,28.5,3.530960192,1364.5,-25.505,0,107.468101,125.8584175,3204.9513415,88.7653375,84,10,63,73,0,0,6.04905,149.1816485,2.5,2.5,212.199415,169.5,3444.7635,49.5,71.943322,13.5,242.5,956.699,1020.175,23.5,-8.366893,2,0,High
