D,H,A,E,C,I,P,B,N,DP,Fluorescence,total_num_valence_electrons,total_hallkieralpha,total_num_sat_rings,total_kappa2,total_kappa3,total_bertzct,total_balabanj,total_rot_bonds,total_hbd,total_hba,total_num_heteroatoms,total_num_aromatic_heterocycles,total_num_aliphatic_rings,total_logp,total_chi0v,total_arom_rings,total_num_rings,total_kappa1,total_n_carbon,total_mw,total_n_oxygen,total_chi1v,charge,total_heavy_atom_count,total_molar_ref,total_tpsa,total_n_nitrogen,predicted_docking_score,Consensus_Class,score,fluorescence
17.5,10,0,0,2.5,2.5,0,0,0,32.5,1.725116472,1727.5,-28.1,0,152.4145825,151.3114675,3628.576175,103.4048025,117.5,10,97.5,97.5,0,0,-0.335250000000001,185.758165,0,0,274.4,205,4345.1375,80,90.4606475,15,302.5,1149.4405,1260.625,17.5,-8.1491785,2,0,High
10,0,2.5,0,0,10,14.5,0,0,37,1.723676288,2233,-43.84,0,179.1598015,166.3499705,6650.947607,104.036746,145,2.5,96,98.5,0,0,40.03495,243.6504815,14.5,14.5,333.845607,307,5678.3705,86,125.8985725,10,405.5,1578.317,1207.91,12.5,-7.7696195,2,0,High
13.5,10,2.5,2.5,0,0,0,0,0,28.5,1.722864564,1399.5,-23.455,0,123.059766,120.9093125,2842.3585165,90.18924,91.5,12.5,78,80.5,0,0,-0.38145,149.5612435,0,0,221.545,164.5,3522.161,64.5,72.2382195,13.5,245,938.039,1073.475,16,-8.493597,2,0,High
11,0,0,13,0,0,0,0,0,24,1.706979148,1147,-19.4,0,99.168458,97.779753,2318.461074,76.391215,70,0,59,59,0,0,10.8298,127.090971,0,0,181.6,142,2876.567,48,61.461924,11,201,788.845,696.1,11,-8.167105,2,0,High
7.5,0,0,17,0,0,0,0,0,24.5,1.705840218,1107.5,-19.655,0,95.2942705,91.312172,2200.347635,77.9007875,64,0,56.5,56.5,0,0,13.36825,121.7048775,0,0,174.345,137.5,2775.884,49,58.999983,7.5,194,756.1475,688.6,7.5,-8.067014,2,0,High
17.5,2.5,2.5,10,0,0,0,0,0,32.5,1.703223549,1582.5,-26.475,0,136.06311,139.638195,3239.0173325,103.429725,100,5,82.5,85,0,0,7.78675,174.25336,0,0,251.025,192.5,3974.9125,65,83.83782,17.5,277.5,1087.4705,1050.55,20,-7.850248,2,0,High
17.5,0,0,10,0,0,0,2.5,2.5,32.5,1.701282235,1677.5,-29.65,0,141.40711,140.99248,3890.84816,102.18924,105,5,82.5,87.5,0,0,11.097,185.122825,2.5,2.5,263.0896925,210,4232.7225,65,90.36092,17.5,297.5,1165.47775,1072.725,22.5,-7.82751,2,0,High
13.5,10,0,0,0,2.5,0,0,2.5,28.5,1.697772293,1484.5,-24.78,0,130.1984235,129.3366825,3125.6446565,90.8921275,99,15,80.5,85.5,0,0,-1.0007,158.7930085,0,0,235.22,174.5,3734.926,67,77.280902,13.5,260,993.47325,1146.225,18.5,-8.44709,2,0,High
10,0,2.5,14.5,10,0,0,0,0,37,1.697178202,1780,-34.93,0,148.5660205,153.3356295,3954.9621375,118.7641625,111.5,2.5,101.5,104,0,0,-0.481999999999999,187.33246,0,0,279.07,210,4492.434,91.5,91.0396505,0,314,1145.3635,1475.375,12.5,-7.524716,2,0,High
2.5,15.5,2.5,10,0,0,0,0,0,30.5,1.695816667,1325.5,-24.815,0,117.45747,103.720657,2567.1690585,95.95534,79,18,76.5,79,0,0,2.25995,135.328598,0,0,206.685,152.5,3336.6305,74,66.001265,2.5,231.5,854.5389,1172.44,5,-8.311921,2,0,High
10,13.5,0,0,10,2.5,0,0,0,36,1.691567494,1881,-34.68,0,164.2297975,159.485184,4153.329367,114.9306575,128,13.5,115.5,115.5,0,0,-10.80535,192.896121,0,0,295.82,215,4751.0335,105.5,94.8295125,0,330.5,1179.0993,1680.205,10,-7.5745406,2,0,High
20,0,0,7.5,0,0,0,0,0,27.5,1.688106565,1440,-22.525,0,125.4113625,128.9060825,2986.61033,87.69405,95,0,75,75,0,0,7.82225,161.55807,0,0,229.975,177.5,3614.5975,55,77.847195,20,252.5,1001.325,841.25,20,-8.207299,2,0,High
0,2.5,10,17.5,0,0,0,2.5,0,32.5,1.684931227,1250,-27.725,0,96.4227575,99.96465,2792.0011225,101.43658,60,12.5,57.5,67.5,0,0,13.5075,130.9845925,2.5,2.5,190.0146925,155,3158.5975,57.5,63.3343225,0,222.5,850.131,1073.225,10,-8.082619,2,0,High
2.5,0,0,23.5,0,0,0,2.5,2.5,31,1.683821624,1362.5,-27.865,0,112.4106715,102.2404585,3107.24654,97.100415,72,5,64.5,69.5,0,0,19.29675,146.34592,2.5,2.5,209.3746925,172.5,3436.512,62,72.156269,2.5,242,927.60775,944.775,7.5,-8.046202,2,0,High
2.5,17.5,2.5,10,0,0,0,0,0,32.5,1.679203078,1417.5,-26.475,0,126.12162,110.447505,2742.5182025,102.1782,85,20,82.5,85,0,0,1.67575,144.25336,0,0,221.025,162.5,3568.8625,80,70.421415,2.5,247.5,911.0225,1265.5,5,-8.173677,2,0,High
7.5,7.5,0,0,7.5,7.5,0,0,0,30,1.678857359,1582.5,-28.275,0,135.004215,139.3312125,3478.197525,96.4383075,105,7.5,90,90,0,0,0.377999999999998,166.0637775,0,0,249.225,187.5,3979.4325,82.5,81.952665,0,277.5,1012.656,1285.95,7.5,-8.335752,2,0,High
7.5,0,0,17,0,0,0,0,0,24.5,1.678655634,1107.5,-19.655,0,95.2942705,91.312172,2200.347635,77.9007875,64,0,56.5,56.5,0,0,13.36825,121.7048775,0,0,174.345,137.5,2775.884,49,58.999983,7.5,194,756.1475,688.6,7.5,-8.067014,2,0,High
2.5,10,2.5,16.5,0,0,0,0,0,31.5,1.675597576,1332.5,-25.385,0,115.743661,104.9096165,2579.9296225,99.466325,75.5,12.5,73,75.5,0,0,8.64725,138.7878925,0,0,207.615,157.5,3348.753,70.5,67.5020535,2.5,233,873.604,1087.475,5,-8.065305,2,0,High
21.5,0,0,2.5,0,0,0,2.5,2.5,29,1.671456016,1605.5,-27.045,0,135.8719315,139.5136775,3802.826166,91.17195,106,5,79.5,84.5,0,0,6.04195,178.661899,2.5,2.5,253.1946925,200.5,4054.589,58,87.021773,21.5,285,1124.27275,1004.275,26.5,-8.373357,2,0,High
15.5,2.5,2.5,10,0,0,0,0,0,30.5,1.65948278,1468.5,-24.815,0,126.073428,129.019255,2997.4683045,97.039995,92,5,76.5,79,0,0,7.55615,161.328598,0,0,232.685,178.5,3688.5405,61,77.628816,15.5,257.5,1007.4605,986.15,18,-8.025061,2,0,High
7.5,0,0,0,0,17,0,0,0,24.5,1.652760644,1311.5,-19.655,0,107.5876335,126.094325,2699.033081,79.5940045,81,0,56.5,56.5,0,0,24.18195,148.5198445,0,0,208.345,171.5,3252.802,49,73.549297,7.5,228,911.9355,688.6,7.5,-8.30666,2,0,High
10,0,0,13.5,0,0,0,2.5,2.5,28.5,1.642317808,1390,-26.19,0,115.852589,111.7725735,3251.561995,89.3329025,82,5,67,72,0,0,12.8065,151.7331775,2.5,2.5,216.0496925,175,3509.237,57,74.430494,10,247,959.34525,923.275,15,-8.104992,2,0,High
17,0,0,7.5,0,0,0,0,0,24.5,1.633795973,1269,-20.035,0,110.4268395,112.9776725,2624.286788,78.109455,83,0,66,66,0,0,7.47635,142.170927,0,0,202.465,156.5,3185.0395,49,68.533689,17,222.5,881.31,744.65,17,-8.363167,2,0,High
7.5,7.5,7.5,7.5,0,0,0,0,0,30,1.629565737,1282.5,-24.3,0,106.8778575,111.8383875,2568.8387175,95.13,75,15,67.5,75,0,0,1.623,135.021585,0,0,200.7,150,3228.735,60,64.539405,7.5,225,858.5115,1110.9,15,-8.261714,2,0,High
17,0,0,7.5,0,0,0,0,0,24.5,1.625052769,1269,-20.035,0,110.4268395,112.9776725,2624.286788,78.109455,83,0,66,66,0,0,7.47635,142.170927,0,0,202.465,156.5,3185.0395,49,68.533689,17,222.5,881.31,744.65,17,-8.363167,2,0,High
10,2.5,0,0,2.5,13.5,0,0,0,28.5,1.619284251,1527,-24.34,0,127.8385705,142.0886625,3225.529588,92.105101,98,2.5,74.5,74.5,0,0,16.07835,168.561971,0,0,242.16,192,3810.2535,64.5,83.126076,7.5,266.5,1033.5235,959.45,10,-8.280772,2,0,High
2.5,23.5,2.5,2.5,0,0,0,0,0,31,1.618934631,1393.5,-25.53,0,126.5995275,107.9113665,2697.4455845,97.05003,88,26,85.5,88,0,0,-5.5931,138.717196,0,0,217.47,155,3514.681,83,67.92471,2.5,243,879.2483,1347.43,5,-8.452135,2,0,High
2.5,21.5,2.5,2.5,0,0,0,0,0,29,1.618783046,1301.5,-23.87,0,117.9353775,101.1845185,2522.0964405,90.82717,82,24,79.5,82,0,0,-5.0089,129.792434,0,0,203.13,145,3282.449,77,63.50456,2.5,227,822.7647,1254.37,5,-8.55219,2,0,High
7.5,7.5,0,0,0,7.5,0,0,7.5,30,1.605004363,1537.5,-28.275,0,128.29383,137.1204975,3418.6971375,97.2386625,97.5,22.5,75,90,0,0,-0.234750000000002,162.71688,0,0,241.725,180,3867.03,67.5,79.6674525,7.5,270,1024.81425,1329.15,22.5,-8.295207,2,0,High
2.5,21.5,2.5,2.5,0,0,0,0,0,29,1.602391738,1301.5,-23.87,0,117.9353775,101.1845185,2522.0964405,90.82717,82,24,79.5,82,0,0,-5.0089,129.792434,0,0,203.13,145,3282.449,77,63.50456,2.5,227,822.7647,1254.37,5,-8.55219,2,0,High
10,15.5,2.5,2.5,0,0,0,0,0,30.5,1.602355006,1453,-25.115,0,129.404235,120.8249995,2901.8578635,96.1200775,94,18,84,86.5,0,0,-2.39155,151.4860055,0,0,228.885,167.5,3659.648,74,73.527875,10,254,953.3514,1216.69,12.5,-8.442474,2,0,High
2.5,24.5,2.5,2.5,0,0,0,0,0,32,1.598238341,1439.5,-26.36,0,130.9316025,111.2747905,2785.1201565,100.16146,91,27,88.5,91,0,0,-5.8852,143.179577,0,0,224.64,160,3630.797,86,70.134785,2.5,251,907.4901,1393.96,5,-8.392758,2,0,High
2.5,0,0,21.5,0,0,0,2.5,2.5,29,1.594975193,1282.5,-26.285,0,105.6067935,96.1826765,2954.94786,90.754615,68,5,60.5,65.5,0,0,17.82575,137.7298,2.5,2.5,196.9546925,162.5,3236.278,58,67.954361,2.5,228,873.94775,892.175,7.5,-8.126351,2,0,High
17,7.5,0,0,0,0,0,0,0,24.5,1.589760806,1314,-20.335,0,117.4028595,115.48667,2710.726028,77.64843,90.5,7.5,73.5,73.5,0,0,-0.23065,143.3283345,0,0,209.665,156.5,3305.032,56.5,69.3520965,17,230,891.8985,896.375,17,-8.620229,2,0,High
16.5,0,0,10,0,0,0,2.5,2.5,31.5,1.587964916,1620.5,-28.82,0,136.412269,135.68301,3770.073646,98.994375,101,5,79.5,84.5,0,0,10.9817,178.660444,2.5,2.5,253.9196925,203,4089.5365,63,87.256418,16.5,287.5,1125.47275,1040.525,21.5,-7.9139977,2,0,High
10,0,7.5,7.5,0,0,0,0,0,25,1.587753806,1080,-20.15,0,86.8743975,99.8863825,2213.2157125,79.7814375,62.5,7.5,52.5,60,0,0,4.102,117.70968,0,0,169.85,130,2715.83,42.5,55.7250975,10,190,746.7105,842.425,17.5,-8.274919,2,0,High
10,2.5,13.5,2.5,0,0,0,0,0,28.5,1.586729144,1163,-23.015,0,89.824046,112.4104875,2399.1358605,90.9243425,66,16,56,69.5,0,0,-2.35955,123.9456685,0,0,181.985,135.5,2932.009,46,57.883853,10,205,799.5134,1085.79,23.5,-8.223627,2,0,High
10,2.5,16.5,2.5,0,0,0,0,0,31.5,1.584552133,1247,-25.385,0,94.388624,122.0404875,2572.8760695,100.5387575,69,19,59,75.5,0,0,-3.38645,132.2558365,0,0,194.615,144.5,3145.246,49,61.453022,10,220,857.6876,1215.06,26.5,-7.868196,2,0,High
14.5,0,10,10,2.5,0,0,0,0,37,1.582673018,1646.5,-31.135,0,133.0312645,151.4504775,3466.424898,118.301705,98,10,83.5,93.5,0,0,2.74285,177.8148445,0,0,258.865,196.5,4145.952,69,84.5611715,12,290,1119.2365,1326.875,24.5,-7.344001,2,0,High
15.5,2.5,10,2.5,0,0,0,0,0,30.5,1.578670384,1378.5,-24.815,0,111.9703305,130.3775725,2860.698777,97.2792825,84.5,12.5,69,79,0,0,-0.52735,149.793568,0,0,217.685,163.5,3470.7555,53.5,70.7945835,15.5,242.5,951.671,1112.075,25.5,-8.13518,2,0,High
10,10,14.5,2.5,0,0,0,0,0,37,1.570730363,1536,-30.03,0,123.8361345,140.8461675,3114.6085535,117.4648725,89.5,24.5,79.5,94,0,0,-4.8926,160.183582,0,0,239.97,176,3873.958,69.5,75.6491385,10,270,1030.7183,1477.855,24.5,-7.4594564,2,0,High
13.5,2.5,10,2.5,0,0,0,0,0,28.5,1.563342189,1264.5,-23.155,0,101.9806485,119.7586325,2619.149749,90.8895525,76.5,12.5,63,73,0,0,-0.75795,136.868806,0,0,199.345,149.5,3184.3835,49.5,64.5855795,13.5,222.5,871.661,1047.675,23.5,-8.279756,2,0,High
13.5,2.5,2.5,10,0,0,0,0,0,28.5,1.562852206,1354.5,-23.155,0,116.083746,118.400315,2755.9192765,90.650265,84,5,70.5,73,0,0,7.32555,148.403836,0,0,214.345,164.5,3402.1685,57,71.419812,13.5,237.5,927.4505,921.75,16,-8.173566,2,0,High
2.5,13.5,10,10,0,0,0,0,0,36,1.56164084,1443.5,-29.08,0,120.204765,121.068809,2826.170437,113.7685175,80.5,23.5,78,88,0,0,0.276899999999999,147.179256,0,0,223.92,165,3637.491,75.5,70.5040375,2.5,253,943.4908,1402.555,12.5,-7.528031,2,0,High
0,10,10,14.5,0,0,0,2.5,0,37,1.559577662,1475,-31.58,0,118.707503,116.103657,3221.1123925,115.253605,76.5,20,74,84,0,0,9.11025,151.52827,2.5,2.5,225.1596925,177.5,3729.1165,74,73.607023,0,261.5,981.4545,1343.3,10,-7.453061,2,0,High
0,0,11,13,0,0,0,0,0,24,1.558297849,828,-18.96,0,60.961993,74.685583,1626.988853,76.500555,37,11,37,48,0,0,5.7962,86.475396,0,0,127.04,98,2083.39,37,40.399355,0,146,562.0954,815.89,11,-8.107211,2,0,High
7.5,0,0,15,0,0,0,0,0,22.5,1.555052138,1027.5,-18.075,0,88.4903925,85.25439,2048.048955,71.5549875,60,0,52.5,52.5,0,0,11.89725,113.0887575,0,0,161.925,127.5,2575.65,45,54.798075,7.5,180,702.4875,636,7.5,-8.094693,2,0,High
7.5,7.5,0,0,0,7.5,0,0,7.5,30,1.551344291,1537.5,-28.275,0,128.29383,137.1204975,3418.6971375,97.2386625,97.5,22.5,75,90,0,0,-0.234750000000002,162.71688,0,0,241.725,180,3867.03,67.5,79.6674525,7.5,270,1024.81425,1329.15,22.5,-8.295207,2,0,High
0,16.5,10,0,0,2.5,2.5,0,0,31.5,1.550758142,1354,-27.995,0,111.516985,109.6770685,3021.1258405,96.973255,79.5,26.5,72,82,0,0,-0.327150000000001,135.5687915,2.5,2.5,206.709415,157.5,3427.6665,72,66.4987825,0,239.5,882.6212,1353.22,10,-8.5600195,2,0,High
14,0,0,0,0,10,0,0,0,24,1.548377543,1318,-19.52,0,111.178554,125.08158,2745.680976,77.45312,86,0,62,62,0,0,15.3302,149.327444,0,0,210.48,168,3286.314,48,73.030988,14,230,920.01,713.8,14,-8.438154,2,0,High
10,0,0,15.5,0,0,0,2.5,2.5,30.5,1.543597486,1470,-27.77,0,122.656467,117.8303555,3403.860675,95.6787025,86,5,71,76,0,0,14.2775,160.3492975,2.5,2.5,228.4696925,185,3709.471,61,78.632402,10,261,1013.00525,975.875,15,-7.954305,2,0,High
0,2.5,19.5,10,0,0,0,2.5,0,34.5,1.537972499,1216,-29.305,0,85.362712,107.7429675,2771.058401,108.0854775,54.5,22,52,71.5,0,0,4.7394,124.9896745,2.5,2.5,183.4346925,146,3082.9705,52,58.879536,0,217.5,833.1243,1285.33,19.5,-7.6504445,2,0,High
2.5,13.5,2.5,10,0,0,0,0,0,28.5,1.536396906,1233.5,-23.155,0,108.79332,96.993809,2391.8199145,89.73248,73,16,70.5,73,0,0,2.84415,126.403836,0,0,192.345,142.5,3104.3985,68,61.581115,2.5,215.5,798.0553,1079.38,5,-8.367676,2,0,High
12.5,10,2.5,10,0,0,0,0,0,35,1.536116314,1642.5,-28.55,0,143.5794675,138.316525,3292.7040525,110.791125,102.5,12.5,90,92.5,0,0,5.0195,175.4093125,0,0,258.95,195,4129.8525,77.5,84.8908725,12.5,287.5,1099.259,1238.525,15,-7.7210445,2,0,High
0,2.5,16.5,2.5,0,0,0,10,0,31.5,1.535887119,1297,-32.785,0,87.813724,94.7477775,4009.3997795,92.9269275,59,19,49,65.5,0,0,14.61855,134.5801465,10,10,188.17377,174.5,3335.266,49,66.988842,0,240,921.9876,1156.06,16.5,-8.80519,2,0,High
10,10,0,0,0,2.5,0,0,10,32.5,1.534362421,1660,-31.775,0,140.120355,144.76558,3767.134515,105.1077925,107.5,30,85,105,0,0,-10.6,172.8152575,0,0,260.725,187.5,4194.7575,75,84.0473,10,292.5,1096.464,1574.95,30,-8.0142765,2,0,High
7.5,0,0,20,0,0,0,0,0,27.5,1.531094696,1227.5,-22.025,0,105.5000875,100.398845,2428.795655,87.4194875,70,0,62.5,62.5,0,0,15.57475,134.6290575,0,0,192.975,152.5,3076.235,55,65.302845,7.5,215,836.6375,767.5,7.5,-8.028067,2,0,High
7.5,0,0,7.5,0,0,0,7.5,7.5,30,1.530621044,1567.5,-33.825,0,122.9098575,115.9012425,4524.3312,91.408545,90,15,67.5,82.5,0,0,11.55375,167.62998,7.5,7.5,236.8940775,202.5,4002.165,60,84.108705,7.5,285,1092.53325,1177.425,22.5,-8.370072,2,0,High
10,0,0,16.5,0,0,0,2.5,2.5,31.5,1.530543866,1510,-28.56,0,126.058406,120.8592465,3480.010015,98.8516025,88,5,73,78,0,0,15.013,164.6573575,2.5,2.5,234.6796925,190,3809.588,63,80.733356,10,268,1039.83525,1002.175,15,-7.8529606,2,0,High
2.5,10,2.5,15.5,0,0,0,0,0,30.5,1.525969227,1292.5,-24.595,0,112.341722,101.8807255,2503.7802825,96.293425,73.5,12.5,71,73.5,0,0,7.91175,134.4798325,0,0,201.405,152.5,3248.636,68.5,65.4010995,2.5,226,846.774,1061.175,5,-8.130618,2,0,High
7.5,7.5,7.5,7.5,0,0,0,0,0,30,1.513669493,1282.5,-24.3,0,106.8778575,111.8383875,2568.8387175,95.13,75,15,67.5,75,0,0,1.623,135.021585,0,0,200.7,150,3228.735,60,64.539405,7.5,225,858.5115,1110.9,15,-8.261714,2,0,High
10,19.5,2.5,2.5,0,0,0,0,0,34.5,1.50945069,1637,-28.435,0,146.732535,134.2786955,3252.5561515,108.5657975,106,22,96,98.5,0,0,-3.55995,169.3355295,0,0,257.565,187.5,4124.112,86,82.368175,10,286,1066.3186,1402.81,12.5,-7.9566936,2,0,High
10,2.5,0,0,0,12.5,0,0,10,35,1.505146969,1835,-33.45,0,148.8805725,170.2889,4164.413005,114.4970775,115,22.5,82.5,102.5,0,0,5.30675,198.20151,0,0,289.05,220,4605.5975,72.5,97.0396975,10,322.5,1244.5905,1488.975,30,-7.5719113,2,0,High
10,2.5,0,0,0,10,0,0,10,32.5,1.500428725,1705,-31.475,0,138.5678775,157.60165,3900.70356,106.315825,107.5,22.5,77.5,97.5,0,0,1.87775,183.4879825,0,0,268.525,202.5,4285.17,67.5,89.6477075,10,300,1154.6055,1423.225,30,-7.8479476,2,0,High
10,17.5,0,0,0,2.5,0,0,2.5,32.5,1.496721841,1630,-28.1,0,145.2070425,135.9792175,3360.4931475,103.045825,107.5,22.5,92.5,97.5,0,0,-3.595,169.6425325,0,0,256.9,187.5,4104.645,82.5,82.9907075,10,285,1065.26925,1382.5,15,-8.188707,2,0,High
10,0,2.5,0,0,10,13.5,0,0,36,1.496574472,2159,-42.07,0,173.3558845,162.5926415,6358.286836,101.874603,140,2.5,93,95.5,0,0,38.24035,235.8403145,13.5,13.5,323.533841,296,5486.1565,83,121.6012425,10,391.5,1525.224,1172.38,12.5,-7.869269,2,0,High
2.5,10,0,0,0,10,0,0,10,32.5,1.495268206,1622.5,-31.475,0,133.5971325,143.006305,3652.453995,105.6900625,100,30,77.5,97.5,0,0,-1.17775,168.4879825,0,0,253.525,187.5,4082.145,75,82.939505,2.5,285,1066.3815,1530.7,22.5,-7.892702,2,0,High
10,12.5,10,2.5,0,0,0,0,0,35,1.493632351,1525,-28.55,0,127.819455,134.8097275,3073.18467,110.821825,92.5,22.5,82.5,92.5,0,0,-4.0825,158.8742825,0,0,238.95,175,3844.3925,72.5,75.8205725,10,267.5,1014.0615,1400.275,20,-7.7578874,2,0,High
11,0,0,13,0,0,0,0,0,24,1.490227815,1147,-19.4,0,99.168458,97.779753,2318.461074,76.391215,70,0,59,59,0,0,10.8298,127.090971,0,0,181.6,142,2876.567,48,61.461924,11,201,788.845,696.1,11,-8.167105,2,0,High
10,10,0,0,0,10,0,0,2.5,32.5,1.489516274,1675,-27.8,0,143.654565,148.8152875,3494.0621925,104.2538575,107.5,15,85,90,0,0,8.88275,180.3152575,0,0,264.7,202.5,4195.0575,75,88.591115,10,292.5,1123.41075,1230.775,15,-8.00746,2,0,High
0,2.5,10,15.5,0,0,0,2.5,0,30.5,1.485430218,1170,-26.145,0,89.6188795,93.906868,2639.7024425,95.09078,56,12.5,53.5,63.5,0,0,12.0365,122.3684725,2.5,2.5,177.5946925,145,2958.3635,53.5,59.1324145,0,208.5,796.471,1020.625,10,-8.194865,2,0,High
17,0,0,7.5,0,0,0,0,0,24.5,1.483972744,1269,-20.035,0,110.4268395,112.9776725,2624.286788,78.109455,83,0,66,66,0,0,7.47635,142.170927,0,0,202.465,156.5,3185.0395,49,68.533689,17,222.5,881.31,744.65,17,-8.363167,2,0,High
10,0,0,14.5,0,0,0,2.5,10,37,1.483375685,1805,-36.88,0,146.658403,148.813507,4391.9119925,117.903495,106.5,20,84,104,0,0,4.34625,192.68182,2.5,2.5,279.8596925,217.5,4570.3365,74,94.163603,10,321.5,1229.1835,1491,30,-7.375466,2,0,High
2.5,10,2.5,17.5,0,0,0,0,0,32.5,1.481695779,1372.5,-26.175,0,119.1456,107.9385075,2656.0789625,102.639225,77.5,12.5,75,77.5,0,0,9.38275,143.0959525,0,0,213.825,162.5,3448.87,72.5,69.6030075,2.5,240,900.434,1113.775,5,-7.9794617,2,0,High
10,10,12.5,2.5,0,0,0,0,0,35,1.480288803,1480,-28.45,0,120.7930825,134.4261675,2998.7817475,111.0552625,87.5,22.5,77.5,90,0,0,-4.208,154.64347,0,0,231.55,170,3731.8,67.5,73.2696925,10,260,991.9355,1391.675,22.5,-7.708891,2,0,High
2.5,17.5,10,2.5,0,0,0,0,0,32.5,1.474532645,1327.5,-26.475,0,112.0185225,111.8058225,2605.748675,102.4174875,77.5,27.5,75,85,0,0,-6.40775,132.71833,0,0,206.025,147.5,3351.0775,72.5,63.5871825,2.5,232.5,855.233,1391.425,12.5,-8.208539,2,0,High
7.5,0,0,0,0,17,0,0,0,24.5,1.474042108,1311.5,-19.655,0,107.5876335,126.094325,2699.033081,79.5940045,81,0,56.5,56.5,0,0,24.18195,148.5198445,0,0,208.345,171.5,3252.802,49,73.549297,7.5,228,911.9355,688.6,7.5,-8.30666,2,0,High
2.5,16.5,2.5,10,0,0,0,0,0,31.5,1.473866183,1371.5,-25.645,0,121.789545,107.084081,2654.8436305,99.06677,82,19,79.5,82,0,0,1.96785,139.790979,0,0,213.855,157.5,3452.7465,77,68.21134,2.5,239.5,882.7807,1218.97,5,-8.2681055,2,0,High
2.5,12.5,10,10,0,0,0,0,0,35,1.472407257,1397.5,-28.25,0,115.87269,117.705385,2738.495865,110.6570875,77.5,22.5,75,85,0,0,0.569,142.716875,0,0,216.75,160,3521.375,72.5,68.2939625,2.5,245,915.249,1356.025,12.5,-7.6393075,2,0,High
0,13,0,0,0,0,0,0,11,24,1.472024402,1148,-25.31,0,96.509325,93.608841,2700.597067,77.698539,72,35,61,83,0,0,-17.2844,111.750474,0,0,177.69,120,2918.949,61,54.591469,0,203,723.5555,1398.98,22,-8.556328,2,0,High
2.5,10,13.5,2.5,0,0,0,0,0,28.5,1.4684648,1080.5,-23.015,0,84.853301,97.8151425,2150.8862955,90.29858,58.5,23.5,56,69.5,0,0,-5.41505,108.9456685,0,0,166.985,120.5,2728.984,53.5,51.1756505,2.5,190,711.2894,1193.265,16,-8.348604,2,0,High
2.5,2.5,0,0,0,17.5,0,0,10,32.5,1.462634383,1667.5,-31.175,0,132.044655,155.842375,3786.02304,106.898095,100,22.5,70,90,0,0,11.3,179.1607075,0,0,261.325,202.5,4172.5575,67.5,88.5399125,2.5,292.5,1124.523,1378.975,22.5,-7.931903,2,0,High
2.5,2.5,0,0,23.5,2.5,0,0,0,31,1.460584439,1703.5,-37.145,0,140.521333,147.8674585,4305.762101,101.0186475,119,2.5,114,114,0,0,-23.9064,167.3195365,0,0,265.355,188.5,4331.9555,111.5,83.086184,-21,302.5,983.932,1823.68,2.5,-8.730189,2,0,High
7.5,0,7.5,7.5,7.5,0,0,0,0,30,1.459877339,1357.5,-27.975,0,108.501555,122.835465,3034.9804725,96.3916125,82.5,7.5,75,82.5,0,0,-4.76925,141.5412075,0,0,212.025,157.5,3431.25,67.5,67.88121,0,240,877.548,1260.15,15,-8.426405,2,0,High
10,0,2.5,0,0,10,12.5,0,0,35,1.45790347,2085,-40.3,0,167.5519675,158.8353125,6065.626065,99.71246,135,2.5,90,92.5,0,0,36.44575,228.0301475,12.5,12.5,313.222075,285,5293.9425,80,117.3039125,10,377.5,1472.131,1136.85,12.5,-7.9736557,2,0,High
17.5,0,0,2.5,0,0,0,10,2.5,32.5,1.456712585,1842.5,-35.5,0,148.4227,137.62729,5302.9297475,96.645105,112.5,5,82.5,87.5,0,0,19.94925,203.023465,10,10,280.45877,247.5,4698.255,65,102.039395,17.5,335,1312.51525,1072.725,22.5,-8.230934,2,0,High
0,0,0,0,0,7.5,0,0,15,22.5,1.453967888,1140,-25.725,0,85.745835,106.085835,2919.52965,75.3391425,67.5,30,45,75,0,0,-8.1045,117.4217475,0,0,176.775,127.5,2883.2475,45,57.44028,0,202.5,755.9715,1280.1,30,-8.593135,2,0,High
2.5,10,0,0,14.5,10,0,0,0,37,1.452218009,1934.5,-37.415,0,163.0128685,167.6875795,4406.008472,119.381325,128,10,115.5,115.5,0,0,-5.51055,196.9430005,0,0,302.585,224.5,4876.046,113,97.9368755,-12,340,1188.6805,1772.035,2.5,-7.537651,2,0,High
7.5,7.5,0,0,7.5,7.5,0,0,0,30,1.449571889,1582.5,-28.275,0,135.004215,139.3312125,3478.197525,96.4383075,105,7.5,90,90,0,0,0.377999999999998,166.0637775,0,0,249.225,187.5,3979.4325,82.5,81.952665,0,277.5,1012.656,1285.95,7.5,-8.335752,2,0,High
0,2.5,21.5,2.5,0,0,0,2.5,0,29,1.4482368,972,-24.96,0,62.8912215,91.446285,2315.765157,90.6983375,41.5,24,39,60.5,0,0,-1.46145,98.2193365,2.5,2.5,145.2796925,114.5,2474.251,39,45.501827,0,175,670.6821,1174.26,21.5,-7.7770357,2,0,High
0,7.5,7.5,7.5,0,0,0,7.5,0,30,1.44793443,1320,-29.85,0,101.9466825,91.368855,3646.2315,89.4211275,67.5,15,60,67.5,0,0,15.12675,136.7648175,7.5,7.5,195.8690775,172.5,3371.25,60,68.69127,0,240,906.7365,1066.65,7.5,-8.82405,2,0,High
17,0,0,0,0,7.5,0,0,0,24.5,1.447656741,1359,-20.035,0,115.850382,128.32274,2844.295073,78.8564625,90.5,0,66,66,0,0,12.2471,154.0010595,0,0,217.465,171.5,3395.4445,49,74.952504,17,237.5,950.04,744.65,17,-8.54609,2,0,High
